IMDbID,Genre,Released,Title,IMDbRating,Type,Synopsis,ImageURL
tt4519988,['Comedy'],2014,The Savage Eye: An Irish Guide to Failure,9.4,tvMovie,"A one off special episode of The Savage Eye culminating the highlights of the previous four seasons, narrated by David McSavage.","['https://m.media-amazon.com/images/M/MV5BZjI2YWI0MTgtYWExNy00OThjLWFhMzYtODg0N2M2YWI5MzY3XkEyXkFqcGdeQXVyMjU4MTMyMjc@._V1_UY268_CR110,0,182,268_AL_.jpg']"
tt2673212,"['Comedy', 'Crime', 'Drama']",2013,The Best Years,9.4,movie,Peace is declared in Northern Ireland after thirty years of troubles. The criminal empires that have existed during the troubles can no longer operate and are being shut down. George is ...,"['https://m.media-amazon.com/images/M/MV5BMTM2ODQ0ODc3OF5BMl5BanBnXkFtZTcwMTA5MzAxOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg']"
tt2278896,['Comedy'],2012,Soap in the City,9.4,tvMovie,"It's the hottest spot in the city. But wait! It isn't a club, it's a laundry mat and cyber café where the singles go to see, be seen and O.D. on caffeine. The singles come to wash their ...","['https://m.media-amazon.com/images/M/MV5BZmYyM2RhNjMtMzQ3Yy00YTdmLThjZjMtYjA3YjZiZDYyNmUwXkEyXkFqcGdeQXVyMTk1MzMyMjY@._V1_UY268_CR110,0,182,268_AL_.jpg']"
tt7454352,"['Animation', 'Comedy', 'Crime']",2014,Rat Movie: Mystery of the Mayan Treasure,9.3,tvMovie,"Rats, we're Rats. We're the Rats. We prey at night, we stalk at night, we're the Rats.","['https://m.media-amazon.com/images/M/MV5BMGFlNGMzNjgtNTAwNS00NTBkLTliOWQtZWQxNWM0Y2JiOTVlXkEyXkFqcGdeQXVyODY5MjAxNzA@._V1_UY268_CR148,0,182,268_AL_.jpg']"
tt3910212,['Comedy'],2014,Temp Girls,9.3,tvMovie,Three offbeat girls live together and work various temp jobs in order to support their absurd version of The American Dream.,"['https://m.media-amazon.com/images/M/MV5BMTkyNTM1MzU0M15BMl5BanBnXkFtZTgwNzUxNzU0MjE@._V1_UY268_CR13,0,182,268_AL_.jpg']"
tt2732998,['Comedy'],2013,Welcome to Hollywood... Florida,9.3,tvMovie,"Ten years ago, Tyler Porter had it all. As the star of the hit television series ""Dallas Austin,"" all he knew were red carpets and flashy headlines. But this washed up, substance abusing, ...","['https://m.media-amazon.com/images/M/MV5BMTc5NzQ2MDcyNV5BMl5BanBnXkFtZTcwNTUwMjEyOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg']"
tt2586546,['Comedy'],2012,Real Adult Feelings,9.3,tvMovie,,"['https://m.media-amazon.com/images/M/MV5BOThiMWJiODUtN2IxOS00ZDdiLTkzYzQtMjZjYTBjMTBiNGQ4XkEyXkFqcGdeQXVyNjg5NjgxOTk@._V1_UY268_CR94,0,182,268_AL_.jpg']"
tt1787057,"['Comedy', 'Documentary', 'Drama']",2010,Bots High,9.3,movie,"Bots High is an exciting documentary following the adventures of three high school robotics teams battling for first place at a national robotics competition in Miami, Florida. It's a ...","['https://m.media-amazon.com/images/M/MV5BMTM0MTI5OTc0OV5BMl5BanBnXkFtZTcwNzc0OTU5NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt1538885,"['Comedy', 'Documentary']",2010,My Sexuality: A Sensory Experience,9.3,movie,"Five ordinary women from different backgrounds, sexual preferences and past experiences experimenting with five deliciously different self esteem boosting activities. We will follow the ...",['https://m.media-amazon.com/images/G/01/imdb/images/nopicture/180x268/film-173410679._CB468515592_.png']
tt4219970,"['Action', 'Comedy', 'Documentary']",2014,Hoodslam: The Accidental Phenomenon,9.2,movie,Hoodslam is a the story of an upstart pro wrestling promotion from Oakland California. See as they grow from their meager beginnings out of a dilapidated warehouse to become one of the most...,"['https://m.media-amazon.com/images/M/MV5BMjIyNjgxMDIwN15BMl5BanBnXkFtZTgwODE0NjM4MzE@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt3803818,"['Biography', 'Comedy', 'Documentary']",2014,Strictly Sacred: The Story of Girl Trouble,9.2,movie,"A massive amount of archival footage, memorabilia, and audio recordings chronicle the three-decade history of Girl Trouble, the legendary Tacoma-based garage rock band defined by their uncompromising DIY aesthetic.","['https://m.media-amazon.com/images/M/MV5BMjQwMzgxNjc4OV5BMl5BanBnXkFtZTgwMTczNDkxMjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg']"
tt2418114,['Comedy'],2014,Honky Tonk Central,9.2,tvMovie,"""Honky Tonk Central"" is Nashville's biggest party in a bottle, ya'll! Every week we'll give you a place to trade in your martinis and Interstates for homemade wine and dirt roads. Step ...","['https://m.media-amazon.com/images/M/MV5BZTRkYWE0YWQtMmEzNy00Y2FlLWIxMDEtN2NmYmY5YjQ0ZWQyXkEyXkFqcGdeQXVyMzQ5NjY5NA@@._V1_UY268_CR43,0,182,268_AL_.jpg']"
tt3546326,"['Adventure', 'Comedy', 'Documentary']",2013,Murf Vs. Gimghoul,9.2,tvMovie,"Murf Meyer, a poorly informed whistle blower with a mouthful of wild accusations, attempts to expose a collegiate secret society known as The Order of Gimghoul.","['https://m.media-amazon.com/images/M/MV5BNWI4YTMxNmQtMDYxZC00NTM0LTgwYWQtODk2ODg4M2EwMmU2XkEyXkFqcGdeQXVyMTUyMjMzODY@._V1_UY268_CR147,0,182,268_AL_.jpg']"
tt3315912,['Comedy'],2013,The Best of Studio C,9.2,tvMovie,,[]
tt2185170,"['Action', 'Comedy', 'Documentary']",2012,Jurisdiction,9.2,movie,A new dangerous drug goes rampage throughout the city and begins to populate throughout the nation. This growth has to be stopped before it gets out of the jurisdiction.,"['https://m.media-amazon.com/images/M/MV5BMTcwNTkzNTAwMl5BMl5BanBnXkFtZTgwNzg1NjA2MDE@._V1_UY268_CR9,0,182,268_AL_.jpg']"
tt2567684,['Comedy'],2012,Plastic Gangsters,9.2,tvMovie,"Theyre not just bad theyre hopeless The story of a family of fearsome yet hapless gangsters with the Shidas touch (everything they touch turns to shit). Nestling in the quiet backwaters of ...
                    See full synopsis","['https://m.media-amazon.com/images/M/MV5BMGE1OWE5YWYtZDc0Zi00YTRmLWJkODctNWU0YzBmYjAwYWQ2XkEyXkFqcGdeQXVyMTY4MDU5OTU@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt1704233,"['Comedy', 'Documentary', 'Drama']",2011,Road Dogs,9.2,movie,Follows three of Hollywood's most visually vibrant and heavily psychotic bands across the U.S. on a D.I.Y. tour occasionally having disastrous results.,"['https://m.media-amazon.com/images/M/MV5BMjE0ODg3NjIwMF5BMl5BanBnXkFtZTgwNTIxMjg2MDE@._V1_UY268_CR3,0,182,268_AL_.jpg']"
